"GroupLevel","GroupID","MetricID","Numerator","Denominator","Metric","Score","Flag"
"Site","17541","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","17542","Analysis_srs0001",0,178,0,0,NA
"Site","17555","Analysis_srs0001",0,178,0,0,NA
"Site","17717","Analysis_srs0001",2,178,1.12359550561798,1.12359550561798,NA
"Site","17729","Analysis_srs0001",0,178,0,0,NA
"Site","17799","Analysis_srs0001",0,178,0,0,NA
"Site","17808","Analysis_srs0001",0,178,0,0,NA
"Site","17961","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","18449","Analysis_srs0001",0,178,0,0,NA
"Site","18496","Analysis_srs0001",8,178,4.49438202247191,4.49438202247191,NA
"Site","18537","Analysis_srs0001",0,178,0,0,NA
"Site","18548","Analysis_srs0001",0,178,0,0,NA
"Site","18743","Analysis_srs0001",0,178,0,0,NA
"Site","18777","Analysis_srs0001",0,178,0,0,NA
"Site","20531","Analysis_srs0001",0,178,0,0,NA
"Site","20757","Analysis_srs0001",0,178,0,0,NA
"Site","21380","Analysis_srs0001",0,178,0,0,NA
"Site","21655","Analysis_srs0001",8,178,4.49438202247191,4.49438202247191,NA
"Site","22022","Analysis_srs0001",0,178,0,0,NA
"Site","22677","Analysis_srs0001",0,178,0,0,NA
"Site","25127","Analysis_srs0001",0,178,0,0,NA
"Site","25160","Analysis_srs0001",4,178,2.24719101123596,2.24719101123596,NA
"Site","25171","Analysis_srs0001",0,178,0,0,NA
"Site","25348","Analysis_srs0001",0,178,0,0,NA
"Site","25382","Analysis_srs0001",0,178,0,0,NA
"Site","25449","Analysis_srs0001",0,178,0,0,NA
"Site","25605","Analysis_srs0001",0,178,0,0,NA
"Site","25858","Analysis_srs0001",0,178,0,0,NA
"Site","26115","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","26117","Analysis_srs0001",0,178,0,0,NA
"Site","26167","Analysis_srs0001",0,178,0,0,NA
"Site","26213","Analysis_srs0001",0,178,0,0,NA
"Site","26499","Analysis_srs0001",0,178,0,0,NA
"Site","26665","Analysis_srs0001",0,178,0,0,NA
"Site","26725","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","26772","Analysis_srs0001",0,178,0,0,NA
"Site","26880","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","26885","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","28689","Analysis_srs0001",0,178,0,0,NA
"Site","29013","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","29289","Analysis_srs0001",0,178,0,0,NA
"Site","29476","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","29813","Analysis_srs0001",0,178,0,0,NA
"Site","29972","Analysis_srs0001",9,178,5.0561797752809,5.0561797752809,NA
"Site","30089","Analysis_srs0001",0,178,0,0,NA
"Site","30233","Analysis_srs0001",0,178,0,0,NA
"Site","30336","Analysis_srs0001",0,178,0,0,NA
"Site","30729","Analysis_srs0001",0,178,0,0,NA
"Site","30741","Analysis_srs0001",0,178,0,0,NA
"Site","30851","Analysis_srs0001",0,178,0,0,NA
"Site","30984","Analysis_srs0001",0,178,0,0,NA
"Site","31107","Analysis_srs0001",0,178,0,0,NA
"Site","32913","Analysis_srs0001",0,178,0,0,NA
"Site","32920","Analysis_srs0001",0,178,0,0,NA
"Site","33348","Analysis_srs0001",0,178,0,0,NA
"Site","33396","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","33539","Analysis_srs0001",0,178,0,0,NA
"Site","33617","Analysis_srs0001",8,178,4.49438202247191,4.49438202247191,NA
"Site","33620","Analysis_srs0001",0,178,0,0,NA
"Site","33671","Analysis_srs0001",0,178,0,0,NA
"Site","34067","Analysis_srs0001",0,178,0,0,NA
"Site","34071","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","34341","Analysis_srs0001",0,178,0,0,NA
"Site","34353","Analysis_srs0001",0,178,0,0,NA
"Site","34355","Analysis_srs0001",0,178,0,0,NA
"Site","34643","Analysis_srs0001",0,178,0,0,NA
"Site","34660","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","34694","Analysis_srs0001",0,178,0,0,NA
"Site","34696","Analysis_srs0001",0,178,0,0,NA
"Site","34713","Analysis_srs0001",0,178,0,0,NA
"Site","35155","Analysis_srs0001",0,178,0,0,NA
"Site","37186","Analysis_srs0001",0,178,0,0,NA
"Site","37702","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","37728","Analysis_srs0001",32,178,17.9775280898876,17.9775280898876,NA
"Site","37892","Analysis_srs0001",0,178,0,0,NA
"Site","37938","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","38248","Analysis_srs0001",0,178,0,0,NA
"Site","38249","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","38272","Analysis_srs0001",0,178,0,0,NA
"Site","38711","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","39000","Analysis_srs0001",32,178,17.9775280898876,17.9775280898876,NA
"Site","39025","Analysis_srs0001",4,178,2.24719101123596,2.24719101123596,NA
